humanitarian_id,client_id
h_1290,
h_15449,19182.0
h_3668,
h_2013,
h_4036,
h_4227,
h_209,
h_7189,5681.0
h_328,
h_5807,
h_5131,
h_609,
h_4748,
h_13189,9610.0
h_24197,3354.0
h_5152,
h_4416,
h_7953,14893.0
h_104,
h_1224,
h_6049,
h_2299,
h_1275,
h_4801,
h_68,
h_2695,
h_4768,
h_6174,
h_1412,
h_4287,
h_3692,
h_15115,17263.0
h_8233,16709.0
h_1276,
h_10128,18930.0
h_1610,
h_13520,16647.0
h_8518,18871.0
h_1767,
h_4894,
h_2890,
h_5587,
h_5777,
h_3393,
h_11380,5882.0
h_3096,
h_9907,19056.0
h_3903,
h_3084,
h_1402,
h_12860,18060.0
h_6414,
h_1804,
h_2346,
h_22311,19168.0
h_2477,
h_6060,
h_1926,
h_670,
h_4812,
h_5773,
h_4874,
h_5973,
h_21082,18424.0
h_4051,
h_6133,
h_3811,
h_5324,
h_6000,
h_223,
h_2696,
h_2309,
h_5194,
h_14367,19084.0
h_542,
h_3079,
h_2311,
h_2263,
h_6655,
h_1760,
h_5205,
h_4840,
h_5825,
h_20004,6176.0
h_19736,6318.0
h_25059,4325.0
h_17490,15893.0
h_4570,
h_5188,
h_16117,378.0
h_16437,16036.0
h_19752,16569.0
h_25340,11268.0
h_1746,
h_427,
h_6547,
h_415,
h_5796,
h_1040,
h_5406,
h_3460,
h_2791,
h_1366,
h_5525,
h_2014,
h_3173,
h_1264,
h_2212,
h_57,
h_1048,
h_6641,
h_490,
h_2159,
h_898,
h_4046,
h_3518,
h_34,
h_5456,
h_233,
h_5562,
h_6806,
h_6676,
h_2633,
h_360,
h_4800,
h_95,
h_5701,
h_6630,
h_6388,
h_1465,
h_851,
h_5221,
h_2380,
h_3594,
h_3815,
h_6777,
h_23053,17411.0
h_700,
h_751,
h_10804,4330.0
h_5396,
h_3561,
h_5925,
h_3130,
h_23544,6931.0
h_690,
h_11751,18205.0
h_18772,18705.0
h_14285,15396.0
h_5786,
h_5635,
h_859,
h_2372,
h_11849,18236.0
h_912,
h_1172,
h_5423,
h_3182,
h_2031,
h_408,
h_13865,18625.0
h_1507,
h_4346,
h_5935,
h_3301,
h_5953,
h_15487,19169.0
h_2515,
h_1236,
h_4987,
h_2943,
h_1692,
h_1171,
h_6359,
h_4971,
h_1481,
h_3924,
h_5827,
h_212,
h_7254,18240.0
h_2926,
h_3454,
h_1628,
h_10623,17038.0
h_6688,
h_220,
h_7010,17718.0
h_3902,
h_559,
h_2136,
h_1403,
h_878,
h_5592,
h_6607,
h_1399,
h_5399,
h_2835,
h_5299,
h_4855,
h_6830,
h_3356,
h_6201,
h_4404,
h_6262,
h_646,
h_3930,
h_3912,
h_21439,2110.0
h_1909,
h_6318,
h_6691,
h_6294,
h_6423,
h_4426,
h_1027,
h_1411,
h_23636,5863.0
h_6629,
h_106,
h_5862,
h_6058,
h_12648,16123.0
h_18144,16732.0
h_3004,
h_5433,
h_5729,
h_3800,
h_4835,
h_4993,
h_4896,
h_1905,
h_1140,
h_1869,
h_2342,
h_5641,
h_3640,
h_2433,
h_21094,18197.0
h_135,
h_2981,
h_6245,
h_9877,18701.0
h_4538,
h_2491,
h_2572,
h_2916,
h_5645,
h_3992,
h_14744,16449.0
h_5916,
h_15002,15243.0
h_3246,
h_6569,
h_19578,17089.0
h_5397,
h_9069,11091.0
h_2004,
h_1607,
h_17866,10246.0
h_4175,
h_5035,
h_5145,
h_6574,
h_6749,
h_749,
h_5218,
h_3842,
h_19598,13805.0
h_5077,
h_3828,
h_3790,
h_4076,
h_2041,
h_839,
h_4806,
h_5746,
h_1563,
h_437,
h_3278,
h_874,
h_3255,
h_5312,
h_2226,
h_296,
h_11881,13204.0
h_3148,
h_9932,18976.0
h_956,
h_14191,19132.0
h_4012,
h_6895,14437.0
h_19329,19155.0
h_6269,
h_19606,19127.0
h_25086,16358.0
h_9763,11742.0
h_24161,11421.0
h_3914,
h_13770,18336.0
h_341,
h_5612,
h_4783,
h_6804,
h_2116,
h_2490,
h_2492,
h_4444,
h_414,
h_5045,
h_2203,
h_4978,
h_5686,
h_2239,
h_1110,
h_4107,
h_2946,
h_5926,
h_522,
h_1785,
h_764,
h_10248,13438.0
h_1929,
h_2953,
h_6100,
h_3391,
h_776,
h_2190,
h_10912,15556.0
h_5981,
h_16266,9533.0
h_1426,
h_9540,13696.0
h_353,
h_15440,5070.0
h_1427,
h_1408,
h_14004,18527.0
h_678,
h_8883,18279.0
h_17723,18417.0
h_5176,
h_1533,
h_152,
h_3129,
h_6687,
h_6429,
h_6453,
h_182,
h_6386,
h_12741,19083.0
h_5865,
h_204,
h_4780,
h_6271,
h_4634,
h_5217,
h_796,
h_3280,
h_2854,
h_3294,
h_5847,
h_5234,
h_4889,
h_1183,
h_6188,
h_12885,12515.0
h_6517,
h_2262,
h_5692,
h_6469,
h_1625,
h_2601,
h_1955,
h_260,
h_15855,19092.0
h_5223,
h_1431,
h_1279,
h_367,
h_18687,16512.0
h_6038,
h_12961,14867.0
h_472,
h_2776,
h_17444,8786.0
h_10080,18453.0
h_21304,15306.0
h_4546,
h_1994,
h_5212,
h_6240,
h_6237,
h_5659,
h_5282,
h_4664,
h_1424,
h_2171,
h_10853,16498.0
h_2193,
h_645,
h_5557,
h_3211,
h_1946,
h_3823,
h_3002,
h_2186,
h_2384,
h_4379,
h_4707,
h_6588,
h_7481,15414.0
h_3753,
h_23468,11225.0
h_4355,
h_5880,
h_5251,
h_4206,
h_3945,
h_6277,
h_6047,
h_4400,
h_1659,
h_6754,
h_4653,
h_320,
h_5154,
h_3252,
h_3214,
h_5186,
h_3432,
h_8012,18078.0
h_4260,
h_2593,
h_5061,
h_3319,
h_4832,
h_1668,
h_1108,
h_1572,
h_214,
h_840,
h_2632,
h_926,
h_19466,18779.0
h_3544,
h_4878,
h_4234,
h_6268,
h_6398,
h_110,
h_239,
h_17891,7595.0
h_9488,16897.0
h_3087,
h_13485,9479.0
h_13498,12864.0
h_24612,7877.0
h_8623,11733.0
h_9378,13700.0
h_2358,
h_22253,9844.0
h_8740,18232.0
h_6433,
h_5385,
h_1455,
h_3056,
h_273,
h_5182,
h_1744,
h_6166,
h_6019,
h_15,
h_1820,
h_5301,
h_2301,
h_1060,
h_706,
h_5054,
h_1819,
h_13338,18910.0
h_6787,
h_6146,
h_3466,
h_5097,
h_6709,
h_2064,
h_14931,12252.0
h_541,
h_1397,
h_3552,
h_4717,
h_8806,12356.0
h_24989,18636.0
h_5121,
h_11859,18787.0
h_6832,
h_964,
h_1707,
h_4663,
h_6126,
h_1812,
h_14547,18917.0
h_4632,
h_3958,
h_533,
h_1703,
h_1213,
h_911,
h_989,
h_6405,
h_3638,
h_3832,
h_1005,
h_4984,
h_2029,
h_9749,14451.0
h_18325,19066.0
h_6596,
h_3577,
h_18151,14870.0
h_15975,18390.0
h_3196,
h_19378,19058.0
h_1014,
h_4567,
h_1745,
h_1694,
h_5394,
h_2588,
h_16072,18363.0
h_4174,
h_20718,4694.0
h_1319,
h_6236,
h_13755,18397.0
h_6799,
h_2755,
h_21871,11969.0
h_16528,10914.0
h_13876,18935.0
h_12000,15397.0
h_22809,15173.0
h_5187,
h_168,
h_10402,18850.0
h_23272,16397.0
h_17022,18731.0
h_4384,
h_3242,
h_3774,
h_20851,18651.0
h_1315,
h_6720,
h_2510,
h_1529,
h_517,
h_1254,
h_822,
h_2015,
h_3605,
h_179,
h_471,
h_7516,17862.0
h_1303,
h_14585,14234.0
h_2424,
h_24859,18928.0
h_2925,
h_20165,19041.0
h_5584,
h_2764,
h_4617,
h_4127,
h_2409,
h_4007,
h_16693,11491.0
h_13933,12541.0
h_3773,
h_459,
h_4901,
h_19532,10741.0
h_6029,
h_6779,
h_2752,
h_2876,
h_634,
h_5271,
h_3907,
h_4704,
h_6738,
h_16353,18803.0
h_549,
h_3719,
h_10514,10525.0
h_2718,
h_23617,16263.0
h_7520,6127.0
h_4455,
h_10702,15030.0
h_3952,
h_10826,7153.0
h_6233,
h_4518,
h_1338,
h_10488,15434.0
h_2982,
h_4534,
h_16121,10736.0
h_17527,17687.0
h_4817,
h_2585,
h_2058,
h_5484,
h_1759,
h_4232,
h_5044,
h_6239,
h_2233,
h_6530,
h_1860,
h_14393,9156.0
h_6929,15668.0
